tid,task,dtnum
202_460000,二级乙等_海南省,10
202_500000,二级乙等_重庆市,42
202_510000,二级乙等_四川省,178
202_520000,二级乙等_贵州省,136
202_540000,二级乙等_西藏自治区,1
202_530000,二级乙等_云南省,97
202_610000,二级乙等_陕西省,92
202_620000,二级乙等_甘肃省,29
202_630000,二级乙等_青海省,8
202_640000,二级乙等_宁夏回族自治区,8
202_650000,二级乙等_新疆维吾尔自治区,51
203_110000,二级丙等_北京市,7
203_120000,二级丙等_天津市,2
203_130000,二级丙等_河北省,2
203_140000,二级丙等_山西省,1
203_150000,二级丙等_内蒙古自治区,5
203_210000,二级丙等_辽宁省,0
203_220000,二级丙等_吉林省,2
203_310000,二级丙等_上海市,0
203_230000,二级丙等_黑龙江省,0
203_320000,二级丙等_江苏省,0
203_340000,二级丙等_安徽省,0
203_330000,二级丙等_浙江省,5
203_360000,二级丙等_江西省,0
203_350000,二级丙等_福建省,0
203_410000,二级丙等_河南省,3
203_370000,二级丙等_山东省,1
203_420000,二级丙等_湖北省,1
203_430000,二级丙等_湖南省,0
203_440000,二级丙等_广东省,0
203_450000,二级丙等_广西壮族自治区,0
203_460000,二级丙等_海南省,0
203_500000,二级丙等_重庆市,0
203_510000,二级丙等_四川省,1
203_520000,二级丙等_贵州省,0
203_530000,二级丙等_云南省,0
203_540000,二级丙等_西藏自治区,0
203_610000,二级丙等_陕西省,0
203_620000,二级丙等_甘肃省,0
203_630000,二级丙等_青海省,0
203_650000,二级丙等_新疆维吾尔自治区,0
203_640000,二级丙等_宁夏回族自治区,0
200_110000,二级未定_北京市,12
200_120000,二级未定_天津市,2
200_130000,二级未定_河北省,13
200_140000,二级未定_山西省,8
200_150000,二级未定_内蒙古自治区,1
200_210000,二级未定_辽宁省,3
200_220000,二级未定_吉林省,2
200_230000,二级未定_黑龙江省,5
200_310000,二级未定_上海市,7
200_320000,二级未定_江苏省,13
200_340000,二级未定_安徽省,10
200_330000,二级未定_浙江省,13
200_350000,二级未定_福建省,5
200_370000,二级未定_山东省,58
200_360000,二级未定_江西省,7
200_410000,二级未定_河南省,26
200_420000,二级未定_湖北省,12
200_430000,二级未定_湖南省,16
200_450000,二级未定_广西壮族自治区,4
200_440000,二级未定_广东省,16
200_460000,二级未定_海南省,2
200_510000,二级未定_四川省,60
200_520000,二级未定_贵州省,8
200_500000,二级未定_重庆市,6
200_610000,二级未定_陕西省,4
200_540000,二级未定_西藏自治区,0
200_530000,二级未定_云南省,1
200_620000,二级未定_甘肃省,3
200_640000,二级未定_宁夏回族自治区,2
200_630000,二级未定_青海省,0
200_650000,二级未定_新疆维吾尔自治区,2
101_110000,一级甲等_北京市,249
101_120000,一级甲等_天津市,60
101_130000,一级甲等_河北省,198
101_140000,一级甲等_山西省,45
101_150000,一级甲等_内蒙古自治区,105
101_210000,一级甲等_辽宁省,93
101_310000,一级甲等_上海市,122
101_220000,一级甲等_吉林省,74
101_230000,一级甲等_黑龙江省,20
101_320000,一级甲等_江苏省,192
101_330000,一级甲等_浙江省,70
101_360000,一级甲等_江西省,64
101_340000,一级甲等_安徽省,154
101_350000,一级甲等_福建省,75
101_370000,一级甲等_山东省,218
101_410000,一级甲等_河南省,188
101_420000,一级甲等_湖北省,104
101_430000,一级甲等_湖南省,190
101_440000,一级甲等_广东省,274
101_450000,一级甲等_广西壮族自治区,55
101_460000,一级甲等_海南省,9
101_500000,一级甲等_重庆市,51
101_510000,一级甲等_四川省,204
101_520000,一级甲等_贵州省,20
101_530000,一级甲等_云南省,52
101_540000,一级甲等_西藏自治区,0
101_610000,一级甲等_陕西省,51
101_620000,一级甲等_甘肃省,19
101_630000,一级甲等_青海省,2
101_650000,一级甲等_新疆维吾尔自治区,25
101_640000,一级甲等_宁夏回族自治区,18
102_110000,一级乙等_北京市,1
102_130000,一级乙等_河北省,3
102_140000,一级乙等_山西省,0
102_150000,一级乙等_内蒙古自治区,0
102_120000,一级乙等_天津市,0
102_210000,一级乙等_辽宁省,0
102_220000,一级乙等_吉林省,0
102_230000,一级乙等_黑龙江省,2
102_310000,一级乙等_上海市,0
102_320000,一级乙等_江苏省,68
102_330000,一级乙等_浙江省,0
102_350000,一级乙等_福建省,45
102_340000,一级乙等_安徽省,1
102_360000,一级乙等_江西省,7
102_370000,一级乙等_山东省,2
102_410000,一级乙等_河南省,3
102_420000,一级乙等_湖北省,1
102_440000,一级乙等_广东省,9
