county,county_code,county_url
玛曲县,623025000000,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2018/62/30/623025.html
碌曲县,623026000000,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2018/62/30/623026.html
夏河县,623027000000,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2018/62/30/623027.html
临夏市,622901000000,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2018/62/29/622901.html
临夏县,622921000000,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2018/62/29/622921.html
康乐县,622922000000,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2018/62/29/622922.html
永靖县,622923000000,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2018/62/29/622923.html
广河县,622924000000,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2018/62/29/622924.html
和政县,622925000000,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2018/62/29/622925.html
东乡族自治县,622926000000,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2018/62/29/622926.html
积石山保安族东乡族撒拉族自治县,622927000000,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2018/62/29/622927.html
安定区,621102000000,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2018/62/11/621102.html
通渭县,621121000000,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2018/62/11/621121.html
陇西县,621122000000,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2018/62/11/621122.html
渭源县,621123000000,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2018/62/11/621123.html
临洮县,621124000000,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2018/62/11/621124.html
漳县,621125000000,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2018/62/11/621125.html
岷县,621126000000,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2018/62/11/621126.html
西峰区,621002000000,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2018/62/10/621002.html
庆城县,621021000000,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2018/62/10/621021.html
环县,621022000000,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2018/62/10/621022.html
华池县,621023000000,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2018/62/10/621023.html
合水县,621024000000,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2018/62/10/621024.html
正宁县,621025000000,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2018/62/10/621025.html
宁县,621026000000,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2018/62/10/621026.html
镇原县,621027000000,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2018/62/10/621027.html
肃州区,620902000000,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2018/62/09/620902.html
金塔县,620921000000,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2018/62/09/620921.html
瓜州县,620922000000,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2018/62/09/620922.html
肃北蒙古族自治县,620923000000,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2018/62/09/620923.html
阿克塞哈萨克族自治县,620924000000,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2018/62/09/620924.html
玉门市,620981000000,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2018/62/09/620981.html
敦煌市,620982000000,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2018/62/09/620982.html
北林区,231202000000,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2018/23/12/231202.html
